scenario,universe_rule,selection_method,exit_rule,return_basis,signal_days,cohort_win_rate,cohort_avg_return,cohort_compounded,trade_count,win_rate,avg_return,median_return,avg_win,avg_loss,payoff_ratio,profit_factor,best_return,worst_return
原始口径｜全市场活跃前三后筛大跌,原始口径,全市场活跃前三后筛大跌,当日收盘,毛收益,22,0.5,-0.008061074996161249,-0.41452482077427166,24,0.5,-0.01817056763679044,0.0029940119760479833,0.10767072836305415,-0.15710385123996548,0.6853474788380229,0.7476517950960251,0.40860215053763516,-0.40298507462686584
原始口径｜全市场活跃前三后筛大跌,原始口径,全市场活跃前三后筛大跌,当日收盘,净收益,22,0.5,-0.013008401305407232,-0.47551146927649124,24,0.5,-0.023067472536357474,-0.0020084519240818333,0.10214618607695423,-0.1482811311496692,0.6888684034508197,0.6888684034508197,0.4015767034027842,-0.4059627051773552
原始口径｜全市场活跃前三后筛大跌,原始口径,全市场活跃前三后筛大跌,次日开盘,毛收益,22,0.45454545454545453,0.058384955000102275,-0.16754574914855602,24,0.4583333333333333,0.03616982527649551,-0.03293413173652693,0.30721535818921164,-0.2092744277871196,1.4680023805953042,1.3456688488790287,1.9032258064516148,-0.53
原始口径｜全市场活跃前三后筛大跌,原始口径,全市场活跃前三后筛大跌,次日开盘,净收益,22,0.45454545454545453,0.05310622704498964,-0.2542592369141614,24,0.4583333333333333,0.031001895973370937,-0.03775740289993568,0.30069558084163456,-0.19720045276131368,1.5248219597426012,1.2902339659360471,1.8887458772423802,-0.5323441396508728
原始口径｜全市场活跃前三后筛大跌,原始口径,全市场活跃前三后筛大跌,次日收盘,毛收益,22,0.3181818181818182,0.26567849046478537,-0.25497550654725365,24,0.3333333333333333,0.22277320931361055,-0.058113765082492,1.0651050201518462,-0.22673450983486534,4.697586710234717,2.684335262991267,7.645161290322587,-0.65
原始口径｜全市场活跃前三后筛大跌,原始口径,全市场活跃前三后筛大跌,次日收盘,净收益,22,0.3181818181818182,0.2593658795397742,-0.3325817800836237,24,0.2916666666666667,0.21667458981578716,-0.06281145203968647,1.2057272170111142,-0.19058237432346498,6.326541062840889,2.6050463199933067,7.602043278899533,-0.6517456359102245
原始口径｜大跌池内活跃前三,原始口径,大跌池内活跃前三,当日收盘,毛收益,127,0.4094488188976378,-0.0014607121454261848,-0.6307338576375928,381,0.4461942257217848,-0.0014607121454261848,-0.013513513513513487,0.13938971376279777,-0.12126391333541499,1.149473985531433,0.9770528877017182,1.4699646643109543,-0.5552147239263805
原始口径｜大跌池内活跃前三,原始口径,大跌池内活跃前三,当日收盘,净收益,127,0.4015748031496063,-0.0064409579701371865,-0.8043130254067328,381,0.4330708661417323,-0.0064409579701371865,-0.018433645615690386,0.13781486766598391,-0.116636380331063,1.181577028323474,0.9025935633026537,1.4576456385537928,-0.5574331043556753
原始口径｜大跌池内活跃前三,原始口径,大跌池内活跃前三,次日开盘,毛收益,127,0.3464566929133858,-0.013270738680864912,-0.9452132761020934,381,0.3910761154855643,-0.013270738680864914,-0.03724928366762181,0.18411796224118104,-0.1463501252763311,1.2580649445536078,0.8443769222454395,1.9032258064516148,-0.6319018404907977
原始口径｜大跌池内活跃前三,原始口径,大跌池内活跃前三,次日开盘,净收益,127,0.33070866141732286,-0.018192081630087446,-0.9709666091267688,381,0.38320209973753283,-0.018192081630087446,-0.042051032876261996,0.18192079324952654,-0.1425175272999753,1.2764801403452224,0.7930472361293723,1.8887458772423802,-0.6337377415357313
原始口径｜大跌池内活跃前三,原始口径,大跌池内活跃前三,次日收盘,毛收益,127,0.3464566929133858,-0.008113267847714524,-0.9724956863178147,381,0.4068241469816273,-0.008113267847714519,-0.02941176470588236,0.21733559432115632,-0.1694846643767671,1.2823319155178303,0.9159513682270215,7.645161290322587,-0.7392638036809815
原始口径｜大跌池内活跃前三,原始口径,大跌池内活跃前三,次日收盘,净收益,127,0.33070866141732286,-0.013060333843486437,-0.9854245073802386,381,0.4041994750656168,-0.013060333843486444,-0.03425260378465589,0.21264664482652818,-0.16618312994561094,1.2795922479984823,0.8680934193469879,7.602043278899533,-0.7405642335878095
可交易口径｜全市场活跃前三后筛大跌,可交易口径,全市场活跃前三后筛大跌,当日收盘,毛收益,37,0.40540540540540543,-0.009942985343666168,-0.7218030271740785,43,0.3953488372093023,-0.008501529578015641,-0.0326797385620915,0.18567338355100957,-0.13546204970083983,1.3706671644276651,0.8962054536642425,0.7014388489208634,-0.4300141787517724
可交易口径｜全市场活跃前三后筛大跌,可交易口径,全市场活跃前三后筛大跌,当日收盘,净收益,37,0.40540540540540543,-0.014880925566390943,-0.7687893932424552,43,0.3953488372093023,-0.013446659106304758,-0.03750427851938776,0.17975980059065555,-0.1397739596773942,1.2860750386234376,0.8408952175614784,0.6929528696245002,-0.4328570008028857
可交易口径｜全市场活跃前三后筛大跌,可交易口径,全市场活跃前三后筛大跌,次日开盘,毛收益,37,0.4594594594594595,-0.04599356283226013,-0.9369597998065591,43,0.46511627906976744,-0.04227822597182216,-0.018957345971564066,0.12878891025180375,-0.19971554190111035,0.644861731970634,0.5862379381551218,0.49640287769784175,-0.4838709677419355
